"","Address","CaseNumber","CrimeAgainst","Neighborhood","OccurDate","OccurTime","OffenseCategory","OffenseType","OpenDataLat","OpenDataLon","OpenDataX","OpenDataY","ReportDate","OffenseCount"
"98","1000 BLOCK OF NE BROADWAY","22-78259","Society","Irvington","3/23/2022",1909,"Weapon Law Violations","Weapons Law Violations",45.535096773,-122.655049411,7649949,688548,"3/23/2022",1
"99","1000 BLOCK OF NW COUCH ST","22-243730","Society","Pearl","9/9/2022",2001,"Weapon Law Violations","Weapons Law Violations",45.523727354,-122.681643421,7643025,684587,"9/9/2022",1
"100","1000 BLOCK OF SE 69TH AVE","22-802716","Society","Mt Tabor","8/25/2022",2118,"Weapon Law Violations","Weapons Law Violations",45.515874651,-122.592268992,7665849,681119,"10/3/2022",1
"101","1100 BLOCK OF N ANCHOR WAY","22-137821","Society","Bridgeton","5/24/2022",2020,"Weapon Law Violations","Weapons Law Violations",45.604429239,-122.678580846,7644603,713980,"5/24/2022",1
"102","1100 BLOCK OF N ANCHOR WAY","22-140695","Society","Bridgeton","5/27/2022",910,"Weapon Law Violations","Weapons Law Violations",45.604429239,-122.678580846,7644603,713980,"5/27/2022",1
"103","1100 BLOCK OF NE 82ND AVE","22-255238","Society","Montavilla","9/21/2022",2325,"Weapon Law Violations","Weapons Law Violations",45.531274751,-122.579099848,7669368,686645,"9/21/2022",1
"104","1100 BLOCK OF NE 99TH AVE","22-344375","Society","Hazelwood","12/30/2022",550,"Weapon Law Violations","Weapons Law Violations",45.530904206,-122.562359608,7673653,686400,"12/30/2022",1
"105","1100 BLOCK OF NE 102ND AVE","22-156372","Society","Hazelwood","6/12/2022",732,"Weapon Law Violations","Weapons Law Violations",45.530955058,-122.558145642,7674733,686391,"6/12/2022",1
"106","1100 BLOCK OF NE 102ND AVE","22-234671","Society","Hazelwood","8/31/2022",1114,"Weapon Law Violations","Weapons Law Violations",45.530955058,-122.558145642,7674733,686391,"8/31/2022",1
"107","1100 BLOCK OF NE SOUTH SHORE RD","22-311280","Society","East Columbia","11/22/2022",531,"Weapon Law Violations","Weapons Law Violations",45.596303476,-122.653471357,7650948,710846,"11/22/2022",1
"108","1100 BLOCK OF SE 96TH AVE","22-86284","Society","Hazelwood","3/31/2022",2024,"Weapon Law Violations","Weapons Law Violations",45.514957127,-122.564274105,7673014,680600,"3/31/2022",1
"109","1100 BLOCK OF SW 2ND AVE","22-343845","Society","Downtown","1/18/2022",1200,"Weapon Law Violations","Weapons Law Violations",45.515006335,-122.676231105,7644326,681371,"1/18/2022",1
"110","1100 BLOCK OF SW 13TH AVE","22-23229","Society","Downtown","1/25/2022",1030,"Weapon Law Violations","Weapons Law Violations",45.517809212,-122.686696508,7641672,682465,"1/25/2022",1
"111","1100 BLOCK OF SW NAITO PKWY","22-256955","Society","Downtown","9/23/2022",1933,"Weapon Law Violations","Weapons Law Violations",45.514143685,-122.674262395,7644822,681043,"9/23/2022",1
"112","1200 BLOCK OF E BURNSIDE ST","22-308415","Society","Buckman East","11/18/2022",1844,"Weapon Law Violations","Weapons Law Violations",45.522864537,-122.652910699,7650378,684075,"11/18/2022",1
"113","1200 BLOCK OF LLOYD CENTER","22-43678","Society","Lloyd","2/16/2022",25,"Weapon Law Violations","Weapons Law Violations",45.532256896,-122.654621497,7650031,687510,"2/16/2022",1
"114","1200 BLOCK OF N ANCHOR WAY","22-70826","Society","Bridgeton","3/16/2022",1624,"Weapon Law Violations","Weapons Law Violations",45.604658607,-122.679652841,7644331,714071,"3/16/2022",1
"115","1200 BLOCK OF NW HOYT ST","22-105139","Society","Pearl","4/20/2022",2019,"Weapon Law Violations","Weapons Law Violations",45.527250481,-122.68379688,7642508,685886,"4/20/2022",1
"116","1200 BLOCK OF NW NAITO PKWY","22-189280","Society","Pearl","7/15/2022",705,"Weapon Law Violations","Weapons Law Violations",45.532041488,-122.678273888,7643970,687594,"7/15/2022",1
"117","1200 BLOCK OF SE 122ND AVE","22-99008","Society","Mill Park","4/14/2022",1117,"Weapon Law Violations","Weapons Law Violations",45.513998006,-122.537777377,7679795,680078,"4/14/2022",1
"118","1200 BLOCK OF SE 122ND AVE","22-230185","Society","Mill Park","8/26/2022",1513,"Weapon Law Violations","Weapons Law Violations",45.513998006,-122.537777377,7679795,680078,"8/26/2022",1
"119","1200 BLOCK OF SE 122ND AVE","22-800173","Society","Mill Park","1/20/2022",1330,"Weapon Law Violations","Weapons Law Violations",45.513998006,-122.537777377,7679795,680078,"1/21/2022",1
"120","1200 BLOCK OF SE 122ND AVE","22-800720","Society","Mill Park","2/10/2022",930,"Weapon Law Violations","Weapons Law Violations",45.513998006,-122.537777377,7679795,680078,"2/10/2022",1
